Item Title,Item Content,Item Image,Show on News Page?,Show on Home Page?
Simultaneous PET-MR Course,"<p>We are running the 2018 edition of our successful PET-MR course on June 6th-8th at St Thomas' Hospital in Central London (opposite Houses of Parliament / ""Big Ben"")!</p><p>The first day will review either PET or MR theory separately for people with a background in the respective other modality. We will then cover the new simultaneous PET-MR scanners in terms of technology and applications. There will be lectures, scanner visits, interactive Active Learning sessions, industry perspective (by both GE & Siemens), workshops, and sessions on reading scans together with clinicians. The content of the course has been certified by the CPD Certification Service as conforming to continuing professional development principles.</p><p> For more information and to register, click <a href=""https://www1.kcl.ac.uk/prospectus/shortcourses/index/name/simultaneouspetmrscienceandpractice2018/keyword/medicine""target=""_blank"">here</a>.</p>",PETMRCourse_small.jpg,TRUE,TRUE
New Twitter Account,"<p>The PET Centre is now up and running with its very own Twitter account. Follow us at <a href=""https://twitter.com/KCLGSTTpet"" target=""_blank"">@KCLGSTTpet</a> to keep up to date with the latest news from the PET Centre and find out about the latest advances in PET taking place at our Centre and elsewhere.</p>",TwitterIcon.png,TRUE,TRUE
HRH The Princess Royal visits PET Centre,"<p>On the 14th December Her Royal Highness The Princess Royal toured the PET Centre as part of her visit to officially open the Wellcome/Engineering and Physical Sciences Research Council (EPSRC) Centre for Medical Engineering. The new Centre brings together expertise from across the School of Biomedical Engineering and Imaging Sciences, and the Department of Neuroimaging, to create a centre of medical engineering excellence.</p>",HRH_visit.png,TRUE,FALSE
Joe Downey wins RSC Radiochemistry Group Award,"<p>Congratulations to Joe Downey, who has won the Royal Society of Chemistry Radiochemistry Group Young Researcher's Award. The award was won for the best oral presentation, which was entitled <i>Efficient loop trapping and fixation of [<sup>11</sup>C]CO2 by DBU: towards a rapid continuous-flow synthesis of N,N&#39;-[<sup>11</sup>C]dibenzylurea</i>. Joe's name will be added to the trophy, a bust of Marie Curie, which he will hold until the next meeting.</p><p>See the Royal Society of Chemistry <a href=""http://www.rsc.org/Membership/Networking/InterestGroups/Radiochemistry/Radiochemistry-Group-Young-Researchers-Award.asp""target=""_blank"">website</a> for more details about the award.</p>",JD_Award.png,TRUE,FALSE
"NRM 2018- Mapping Neuroreceptors at Work, 9-12 July 2018, London","<p>Join us at this biennial meeting, dedicated to the study of neuroreceptors in the living human brain - Mapping Neroreceptors at Work. The scientific program of this meeting will be multidisciplinary and translational, with a focus on the latest research on the study of in vivo neurotransmission:</p><ul style=""overflow: hidden;""><li>In vivo receptor-receptor interactions and interneuronal communication</li><li>In vivo normo/pathophysiology</li><li>In vivo / in vitro discrepancies in molecular recognition</li><li>Misfolded proteins in vivo</li><li>In vivo human pharmacology</li><li>Evaluation of new therapeutics in vivo</li></ul></p><p>This symposium, organized by King&#39;s College London and partners, will be held in Central London, UK, from July 9th-12th, 2018. It marks the 20th anniversary of a meeting that was initially organized by Albert Gjedde at Aarhus in 1997. <a href=""http://www.nrm2018.org/registration/"" target=""_blank"">Registration</a> and <a href=""http://www.nrm2018.org/call-for-abstracts/"" target=""_blank"">abstract submission</a> are now open.</p><p>For more information visit the meeting <a href=""http://www.nrm2018.org/"" target=""_blank"">website</a> or follow us on <a href=""https://twitter.com/_NRM18"" target=""_blank"">Twitter</a>.</p>",NRM18.png,TRUE,FALSE
The PERL (Positron Emitting Radiotracer Laboratory),"<p>In addition to the existing cyclotron and radiochemistry facility, a new Positron Emitting Radiotracer Laboratory (The PERL) will become operational in 2018 as part of a multi-million pound investment and modernisation of the PET radiochemistry research and production provision at King&#39;s College London and Guy&#39;s and St Thomas&#39; Hospital Trust. This state-of the-art facility includes a GE 880 cyclotron, 2 GMP labs, a QC lab and an R&D lab equipped with 24 hot-cells and associated infrastructure with the remit to 1) produce of GMP radiotracers for research and clinical use; 2) discover and develop new radiochemistries and labelling methodologies and 3) implement locally developed novel PET radiotracers.</p><p>Latest news:</p><ul><li>Hot-cell installations took place in October 2017.</li<li>We are currently recruiting for a number of positions at the PERL. Please contact <a href=""mailto:antony.gee@kcl.ac.uk"">Tony Gee</a> for more information.</li></ul>",HotCells.png,TRUE,FALSE
International consensus nomenclature guidelines published,"<p>Professor Tony Gee has co-chared an international working group on nomenclature recommendations for the field. This has culminated in the publication of consensus guidelines, which are being adopted by the major societies, associations and journals as well as a reference and teaching resource for scientists and practitioners in the field.</p><p>The full recommendations can be found in <i>Nuclear Medicine and Biology </i> which also uses the illustration to the left to highlight the paper on the front cover of the December 2017 edition.</p><p>To read the recommendations, click <a href=""http://dx.doi.org/10.1016/j.nucmedbio.2017.09.004"" target=""_blank"">here</a>.</p>",International_Nomenclature.png,TRUE,FALSE
Professor Sally Barrington awarded NIHR Professorship,"<p>We are delighted to announce that Professor Sally Barrington, Professor of PET Imaging here at the PET Centre, has been awarded a Research Professorship by the National Institute for Health Research (NIHR). This award will allow Professor Barrington to undertake full time research over the next five years, with the support of three doctoral and post-doctoral posts. The focus of the research will be on how PET can be used to guide chemotherapy and radiotherapy so that cancer treatments can become more effective and patients experience fewer side-effects.</p><p>More information about the award can be found <a href=""https://www.nihr.ac.uk/funding-and-support/funding-for-training-and-career-development/training-programmes/nihr-research-professorships/nihr-research-professors-round-7.htm"" target=""_blank"">here</a>.</p>",Sally_NIHR.jpg,TRUE,FALSE
PET Centre staff pick up awards at the BNMS Spring Meeting 2017,"<p>A number of technologists, radiographers, physicists and clinicians from the PET Centre attended the Annual Spring Meeting of the British Nuclear Medicine Society (BNMS), which took place in Birmingham in May this year. Many of our staff contributed to the conference by running workshops, chairing academic sessions and presenting posters and talks.</p><p>Three abstracts from the PET Centre were awarded prizes at the conference: The Radiographers, Technologist and Nurses Poster Prize was award to Carla Abreu <i>et al.</i> for a poster entitled &quot;Experience of implementing radiotherapy planning in PET/CT&quot;; the Multimodality Oral Prize was awarded to Professor Gary Cook <i>et al.</i> for an oral presentation entitled &quot;Response assessment of bone metastases in breast cancer: comparison of [18F]fluorine, [18]-FDG PET/CT and diffusion-weighted MRI&quot; and the 1st Place Radiotherapy Prize was awarded to Dr Jim O&#39;Doherty <i>et al.</i> for an oral presentation entitled &quot;First whole-body biodistribution and radiation dosimetry of [18F]tetrafluoroborate ([18F]TFB), a PET probe for imaging sodium-iodide symporter expression in thyroid cancer patients&quot;.</p>",Carla_BNMS.jpg,TRUE,FALSE
Professor Sally Barrington gives inaugural lecture,"<p>Professor Sally Barrington, Professor of PET Imaging here at the PET Centre, gave her inaugural lecture on the 1st March 2017. Professor Barrington is internationally known for her work in PET and lymphoma. During her lecture, she discussed how her work, based here at the PET Centre since it was opened in 1991, has led to more effective treatment with fewer side-effects for patients with cancer.</p><p>More information about the lecture can be found <a href=""http://www.kcl.ac.uk/lsm/newsevents/eventrecords/2017/mar/Barrington-Mikhaeel.aspx"" target=""_blank"">here</a>.</p>",Sally_Barrington.jpg,TRUE,FALSE
New PET Suite at Guy&#39;s Cancer,"<p>The PET Centre has expanded to a new PET Suite within the Cancer Centre at Guy&#39;s Hospital, where we have a new state-of-the-art PET-CT scanner. The Cancer Centre brings together most cancer imaging and treatment under one roof within a purpose-built building. The PET Suite welcomed its first patients in November 2016, and is now routinely scanning patients.</p><p>Secretary of State for Health Jeremy Hunt, who <a href=""http://www.kingshealthpartners.org/latest/978-health-secretary-visits-cancer-centre"" target=""_blank"">visited the Cancer Centre</a> on the 9th February, praised the Trust for ""leading the way in providing world class cancer care & treatment"".</p>",GCC_opening.png,TRUE,FALSE
Professor Paul Marsden awarded inaugural John Mallard Award,"<p>Paul Marsden, Professor of PET Physics here at the PET Centre, has been awarded the inaugural John Mallard Award from the International Organisation for Medical Physics. Being presented for the first time, the award recognises Professor Marsden's work in developing a positron emission tomography (PET) detector system that functions properly and safely inside a MRI scanner. As a result of his pioneering work, whole body PET/MR systems were commercially available by 2010, and the second system in the UK was installed in our PET Centre in 2014.</p><p>More information about the award can be found on the <a id=""Mallard award link"" href=""http://www.iomp.org/?q=content/information"" target=""_blank"">IOMP Website</a>.</p>",PKM_Award.png,TRUE,FALSE
